code,title,minor_code
3333,Employment Agents And Contractors,333
3334,Real Estate Agents And Property Managers,333
3339,Business Services Agents Not Elsewhere Classified,333
3341,Office Supervisors,334
3342,Legal Secretaries,334
3343,Administrative And Executive Secretaries,334
3344,Medical Secretaries,334
3351,Customs And Border Inspectors,335
3352,Government Tax And Excise Officials,335
3353,Government Social Benefits Officials,335
3354,Government Licensing Officials,335
3355,Police Inspectors And Detectives,335
3359,Government Regulatory Associate Professionals Not Elsewhere Classified,335
3411,Legal And Related Associate Professionals,341
3412,Social Work Associate Professionals,341
3413,Religious Associate Professionals,341
3421,Athletes And Sports Players,342
3422,"Sports Coaches, Instructors And Officials",342
3423,Fitness And Recreation Instructors And Program Leaders,342
3424,Esports Players And Coaches,342
3431,Photographers,343
3432,Interior Designers And Decorators,343
3433,"Gallery, Museum And Library Technicians",343
3434,Chefs,343
3435,Artistic And Cultural Associate Professional Not Elsewhere Classified,343
3511,Information And Communications Technology Operations Technicians,351
3512,Information And Communications Technology User Support Technicians,351
3513,Computer Network And Systems Technicians,351
3514,Web Technicians,351
3521,Broadcasting And Audio-Visual Technicians,352
3522,Telecommunications Engineering Technicians,352
4110,General Office Clerks,411
4120,Secretaries (General),412
4131,Typists And Word Processing Operators,413
4132,Data Entry Clerks,413
4211,Bank Tellers And Related Clerks,421
4212,"Bookmakers, Croupiers/Dealers And Related Gaming Workers",421
4213,Pawnbrokers And Money-Lenders,421
4214,Debt Collectors And Related Workers,421
4221,Travel Consultants And Clerks,422
4222,Contact Center Information Clerks,422
4223,Telephone Switchboard Operators,422
4224,Hotel Receptionists,422
4225,Inquiry Clerks,422
4226,Receptionists (General),422
4227,Survey And Market Research Interviewers,422
4229,Client Information Workers Not Elsewhere Classified,422
4311,Accounting And Bookeeping Clerks,431
4312,"Statistical, Finance And Insurance Clerks",431
4313,Payroll Clerks,431
4321,Stock Clerks,432
4322,Production Clerks,432
4323,Transport Clerks,432
4411,Library Clerks,441
4412,Mail Carriers And Sorting Clerks,441
4413,"Coding, Proof-Reading And Related Clerks",441
4414,Scribes And Related Workers,441
4415,Filing And Copying Clerks,441
4416,Personnel Clerk,441
4419,Clerical Support Workers Not Elsewhere Classified,441
5111,Travel Attendants And Travel Stewards,511
5112,Transport Conductors,511
5113,Travel Guides,511
5120,Cooks,512
5131,Waiters,513
5132,Bartenders,513
5141,Hairdressers,514
5142,Beauticians And Related Workers,514
5151,"Cleaning And Housekeeping Supervisors In Offices, Hotels And Other Establishments",515
5152,Household Service Providers,515
5153,Building Caretakers,515
5161,"Astrologers, Fortune-Tellers And Related Workers",516
5162,Companions And Valets,516
5163,Undertakers And Embalmers,516
5164,Pet Groomers And Animal Care Workers,516
5165,Driving Instructors,516
5169,Personal Services Workers Not Elsewhere Classified,516
5211,Stall And Market Salespersons,521
5212,Street Food Salespersons,521
5221,Shopkeepers,522
5222,Shop Supervisors,522
5223,Shop Sales Assistants,522
5230,Cashiers And Ticket Clerks,523
5241,Fashion And Other Models,524
5242,Sales Demonstrators,524
5243,Door-To-Door Salespersons,524
5244,Contact Center Salespersons,524
5245,Service Station Attendants,524
5246,Food Service Counter Attendants,524
5247,Online-Selling Salespersons,524
5249,Sales Workers Not Elsewhere Classified,524
5311,Child Care Workers,531
5312,Teachers' Aides,531
5321,Health Care Assistants,532
5322,Home-Based Personal Care Workers,532
5329,Personal Care Workers In Health Services Not Elsewhere Classified,532
5411,Firefighters,541
5412,Police Officers,541
5413,Prison Guards,541
5414,Security Guards,541
5419,Protective Services Workers Not Elsewhere Classified,541
6111,Rice Farmers,
6112,Corn Farmers,
6113,"Vegetable, Legumes And Root Crops Farmers",
6114,Sugarcane Farmers,
6115,Coconut Farmers,
6116,Other Field Crop Farmers,
6117,Tree And Shrub Crop Growers,
6118,"Gardeners, Horticultural And Nursery Growers",
6119,"Other Market Gardeners And Crop Growers, Not Elsewhere Classified",
6121,Livestock Farmer,612
6122,Dairy Farmer,612
6123,Eggs Producers,612
6124,Chicken Farmer,612
6125,Duck Raisers,612
6126,Poultry Producers,612
6127,Hog Raising Producers,612
6128,Apiarists And Sericulturists,612
6129,Animal Producers Not Elsewhere Classified,612
6130,Mixed Crop And Animal Producers,613
6211,Forest Tree Planters,621
6212,Concessionaires And Loggers,621
6213,Charcoal Makers And Related Workers,621
6214,Minor Forest Product Gatherers,621
6221,Milkfish And Tilapia Producers,622
6222,Seaweeds Producers,622
6223,Prawn Producers,622
6224,Oysters And Mussels Producers,622
6225,Other Aqua Products Producers,622
6226,Inland And Coastal Waters Fishery Workers,622
6227,Deep-Sea Fishery Workers,622
6228,Hunters And Trappers,622
6229,Fishermen Not Elsewhere Classified,622
6310,Subsistence Crop Farmers,631
6320,Subsistence Livestock Farmers,632
6330,Subsistence Mixed Crop And Livestock Farmers,633
6340,"Subsistence Fishers, Hunters, Trappers And Gatherers",634
7111,House Builders,711
7112,Bricklayers And Related Workers,711
7113,"Stonemasons, Stone Cutters, Splitters And Carvers",711
7114,"Concrete Placers, Concrete Finishers And Related Workers",711
7115,Carpenters And Joiners,711
7119,Building Frame And Related Trades Workers Not Elsewhere Classified,711
7121,Roofers,712
7122,Floor Layers And Tile Setters,712
7123,Plasterers,712
7124,Insulation Workers,712
7125,Glaziers,712
7126,Plumbers And Pipe Fitters,712
7127,Air Conditioning And Refrigeration Mechanics,712
7131,Painters And Related Workers,713
7132,Spray Painters And Varnishers,713
7133,Building Structure Cleaners,713
7211,Metal Molders And Coremakers,721
7212,Welders And Flame Cutters,721
7213,Sheet Metal Workers,721
7214,Structural Metal Preparers And Erectors,721
7215,Riggers And Cable Splicers,721
7221,"Blacksmiths, Hammersmiths And Forging Press Workers",722
7222,Toolmakers And Related Workers,722
7223,Metal Working Machine Tool Setters And Operators,722
7224,"Metal Polishers, Wheel Grinders And Tool Sharpeners",722
7231,Motor Vehicle Mechanics And Repairers,723
7232,Aircraft Engine Mechanics And Repairers,723
7233,Agricultural And Industrial Machinery Mechanics And Repairers,723
7234,Bicycle And Related Repairers,723
7311,Precision-Instrument Makers And Repairers,731
7312,Musical Instrument Makers And Tuners,731
7313,Jewellery And Precious Metal Workers,731
7314,Potters And Related Workers,731
7315,"Glass Makers, Cutters, Grinders And Finishers",731
7316,"Sign Writers, Decorative Painters, Engravers And Etchers",731
7317,"Handicraft Workers In Wood, Basketry And Related Materials",731
7318,"Handicraft Workers In Textile, Leather And Related Materials",731
7319,Handicraft Workers Not Elsewhere Classified,731
7321,Pre-Press Technicians,732
7322,Printers,732
7323,Print Finishing And Binding Workers,732
7411,Building And Related Electricians,741
7412,Electrical Mechanics And Fitters,741
7413,Electrical Line Installers And Repairers,741
7414,Electric Vehicle Mechanics And Repairers,741
7421,Electronics Mechanics And Servicers,742
7422,Information And Communications Technology Installers And Servicers,742
7511,"Butchers, Fishmongers And Related Food Preparers",751
7512,"Bakers, Pastry-Cooks And Confectionery Makers",751
7513,Dairy Products Makers,751
7514,"Fruit, Vegetable And Related Preservers",751
7515,Food And Beverage Tasters And Graders,751
7516,Tobacco Preparers And Tobacco Products Makers,751
7521,Wood Treaters,752
7522,Cabinet-Makers And Related Workers,752
7523,Woodworking Machine Tool Setters And Operators,752
7531,"Tailors, Dressmakers, Furriers And Hatters",753
7532,Garment And Related Patternmakers And Cutters,753
7533,"Sewing, Embroidery And Related Workers",753
7534,Upholsterers And Related Workers,753
7535,"Pelt Dressers, Tanners And Fellmongers",753
7536,Shoemakers And Related Workers,753
7541,Underwater Divers,754
7542,Shotfirers And Blasters,754
7543,Product Graders And Testers (Except Foods And Beverages),754
7544,Fumigators And Other Pest And Weed Controllers,754
7549,Craft And Related Workers Not Elsewhere Classified,754
8111,Miners And Quarriers,811
8112,Mineral And Stone Processing Plant Operators,811
8113,Well Drillers And Borers And Related Workers,811
8114,"Cement, Stone And Other Mineral Products Machine Operators",811
8121,Metal Processing Plant Operators,812
8122,"Metal Finishing, Plating And Coating Machine Operators",812
8131,Chemical Products Plant And Machine Operators,813
8132,Photographic Products Machine Operators,813
8141,Rubber Products Machine Operators,814
8142,Plastic Products Machine Operators,814
8143,Paper Products Machine Operators,814
8151,"Fibre Preparing, Spinning And Winding Machine Operators",815
8152,Weaving And Knitting Machine Operators,815
8153,Sewing Machine Operators,815
8154,"Bleaching, Dyeing And Fabric Cleaning Machine Operators",815
8155,Fur And Leather Preparing Machine Operators,815
8156,Shoemaking And Related Machine Operators,815
8157,Laundry Machine Operators,815
8159,"Textile, Fur And Leather Products Machine Operators Not Elsewhere Classified",815
8160,Food And Related Products Machine Operators,816
8171,Pulp And Papermaking Plant Operators,817
8172,Wood Processing Plant Operators,817
8181,Glass And Ceramics Plant Operators,818
8182,Steam Engine And Boiler Operators,818
8183,"Packing, Bottling And Labelling Machine Operators",818
8189,Stationary Plant And Machine Operators Not Elsewhere Classified,818
8211,Mechanical Machinery Assemblers,821
