unit_code,related_unit_code,related_occupation_title
3119,2149,Production engineer
3119,2149,Quantity surveyor
3121,3117,Mine inspector
3121,1322,Mine manager
3121,8111,Miner
3121,8111,Quarrier
3123,9313,Building work construction laborer
3123,9312,Civil engineering construction laborer
3123,3112,Clerk of works
3123,1323,Construction project manager
3123,1323,Project builder
3133,3134,Petroleum and natural gas refining plant operators
3133,8131,Chemical products plant and machine operators
3134,3133,Chemical processing plant controllers
3134,8131,Chemical products plant and machine operators
3135,8121,Ladle pourer
3135,8122,Metal finishing machine operator
3135,8121,Steel roller
3141,3119,Forensic science technician
3141,3212,Medical laboratory technician
3141,3212,Pathology laboratory technician
3141,3213,Pharmaceutical technician
3142,3240,Artificial inseminator
3142,3240,Veterinary technician
3152,6222,Coastal fishery skipper
3152,8350,Sailor
3152,6223,Trawler skipper
3155,7232,Aeromechanic
3155,2144,Aeronautical engineer
3155,7421,Avionics aircraft maintenance engineer
3155,7421,Avionics technician
3155,2151,Electronics engineer
3211,5329,Medical imaging assistant
3211,2111,Medical physicist
3211,2263,Radiation protection expert
3211,2212,Radiologist
3212,3119,Forensic science technician
3212,2212,Pathologist
3212,5329,Phlebotomist
3212,3240,Veterinary technician
3213,2262,Pharmacist
3213,3141,Pharmacology technician
3213,5329,Pharmacy aide
3214,5329,Dental aide
3214,7311,Surgical instruments maker
3221,3222,Associate professional midwife
3221,2221,Clinical nurse consultant
3221,5322,Home nursing aide
3221,5321,Hospital or clinic nursing aide
3221,2222,Professional midwife
3221,2221,Professional nurse
3221,2221,Specialist nurse
3222,5321,Birth assistant
3222,2221,Clinical nurse consultant
3222,5321,Midwifery attendant
3222,5321,Nursing aide
3222,2222,Professional midwife
3222,2221,Professional nurse
3222,2221,Specialist nurse
3230,3255,Acupressure therapist
3230,2230,Acupuncturist
3230,2230,Ayuverdic practitioner
3230,2230,Chinese herbal medicine practitioner
3230,2269,Chiropractor
3230,3413,Faith healer
3230,2230,Homeopath
3230,3255,Hydrotherapist
3230,2230,Naturopath
3230,2269,Osteopath
3230,3222,Traditional midwife
3240,5164,Animal attendant
3240,2250,Veterinarian
3240,5164,Veterinary aide
3251,5329,Dental aid
3251,3214,Dental mechanic
3251,3214,Dental prosthetist
3251,3214,Dental technician
3251,2261,Dentist
3252,4132,Data entry clerk
3252,4132,Filing clerk
3252,3344,Medical secretary
3253,5322,Home care aide
3253,3222,Traditional midwife
3253,3230,Village healer
3254,2267,Ophthalmic optician
3254,2212,Ophthalmologist
3254,2267,Optometrist
3254,2267,Orthoptist
3255,3259,Chiropractor
3255,2269,Occupational therapist
3255,2264,Physiotherapist
3255,2269,Podiatrist
3256,3251,Dental assistant
3256,5329,Medical imaging assistant
3256,3214,Medical prosthetic technician
3256,3344,Medical secretary
3256,2240,Paramedical clinical officer
3256,3255,Physiotherapy assistant
3257,2263,Environmental health officer
3257,2263,Occupational health and safety adviser
3257,2263,Occupational hygienist
3257,2263,Radiation protection expert
3258,8322,Ambulance driver
3258,2240,Paramedical practitioner
3311,2413,Bond analyst
3311,3324,Commodities broker
3311,3324,Commodity futures dealer
3311,4312,Securities clerk
3313,2411,Accountant
3313,3314,Actuarial assistant
3313,4311,Bookkeeping clerk
3314,3313,Accounting assistant
3314,2120,Actuary
3314,2121,Mathematician
3314,4312,Statistical clerk
3314,2122,Statistician
3321,1346,Insurance agency manager
3321,3315,Insurance assessor
3321,4312,Insurance clerk
3321,3311,Securities broker
3322,5243,Door to door sales representative
3322,2434,Information and communications technology sales professional
3322,2433,Medical sale representative
3322,1221,Sales manager
3322,5223,Shop sale assistant
3322,2433,Technical sales representative
3324,3311,Finance broker
3324,3311,Finance dealer
3324,3321,Insurance dealer
3324,3311,Securities broker
3324,3311,Securities dealer
3333,2423,Careers adviser
3333,3339,Literacy agent
3333,3339,Musical performance agent
3333,2423,Occupational analyst
3333,3339,Sports agent
3333,3339,Theatrical agent
3343,3344,Medical transcriptionist
3343,4120,Secretary (general)
3344,3256,Medical assistant
3344,4226,Medical office receptionist
3344,3252,Medical records technician
3344,4120,Secretary (general)
3352,2411,Accountant
3352,2411,Auditor
3353,2635,Counseling professionals
3353,2635,Social worker
3354,3112,Building inspector
3354,3112,Fire inspector
3355,1112,Police commissioner
3355,1112,Police inspector-general
3355,5412,Police officer
3355,1349,Police superintendent
3355,3411,Private detective
3359,3112,Fire inspector
3359,3257,Health inspector
3359,3257,Occupational health and safety inspector
3359,3257,Pollution inspector
3359,3257,Sanitary inspector
3411,2612,Judge
3411,2611,Lawyer
3411,3342,Legal secretary
3411,2619,Notary
3412,2635,Marriage counsellor
3412,2635,Parole officer
3412,2635,Probation officer
3412,2635,Social worker
3413,2636,Bonze
3413,3230,Healer of indigenous people
3413,3230,Herbalist
3413,2636,Imam
3413,2636,Pastor
3413,2636,Poojari
3413,2636,Priest
3413,2636,Rabbi
3413,2636,Religion minister
3413,3230,Village healer
3413,3230,Witch doctor
3422,3423,Fitness instructor
3422,3423,Horse riding instructor
3422,3423,Personal trainer
3431,7421,Electronics mechanic
3431,3521,Film camera operator
3431,7311,Photographic equipment repairer
3431,7321,Photogravure photographer
3431,7321,Photolithographer
3431,3521,Video camera operator
3434,5120,Cook
3434,9411,Fast food preparer
3513,3511,Computer operator
3513,2522,Network administrator
3513,2511,Network analyst
3513,3514,Web technician
3514,2166,Computer games designer
3514,2512,Computer software designer
3514,2522,Computer systems administrator
3514,2522,Network administrator
3514,2522,System administrator
3514,2511,Systems analyst
3514,2166,Website designer
3514,2513,Website developer
3522,7422,Computer hardware installer
3522,3114,Electronics engineering technician
3522,7422,Telecommunications equipment repairer
3522,7422,Telephone installer
4120,3343,Administrative secretary
4120,3343,Executive assistant
4120,3342,Legal secretary
4120,3344,Medical secretary
4131,3343,Court reporter
4131,3344,Medical transcriptionist
4221,3332,Conference and event planner
4221,5230,Entertainment and sporting events ticket issuing clerk
4221,5113,Tour escort
4221,3339,Tour operator
4221,5113,Tourist guide
4221,1439,Travel agency manager
4222,5244,Call center salesperson
4222,5244,Customer contact center salesperson
4222,4227,Market research interviewer
4222,5244,Telemarketing salesperson
4222,4223,Telephone operator
4226,4224,Hotel receptionist
4226,3344,Medical secretary
4311,3313,Accounting assistant
4311,3313,Bookkeeper
4312,3313,Accounting assistant
4312,4311,Accounts clerk
4312,4311,Bookkeeping clerk
4312,3314,Statistical assistant
4312,3311,Stocks and shares broker
4312,3324,Trade broker
4313,3313,Accounting assistant
4313,4311,Accounts clerk
4313,3313,Bookkeeper
4313,4311,Bookkeeping clerk
5120,1412,Cafe manager
5120,3434,Chef
5120,9411,Fastfood preparer
5120,1412,Restaurant manager
5131,5132,Bartender
5131,1412,Café manager
5131,1412,Restaurant manager
5132,1412,Café manager
5132,1412,Restaurant manager
5132,5131,Waiter
5151,5152,Bed and breakfast operator
5151,5153,Building caretaker
5151,9111,Domestic cleaner
5151,5152,Domestic housekeeper
5151,1411,Hotel manager
5152,9111,Domestic helper
5152,1411,Hotel manager
5161,3413,Faith healer
5161,3230,Village healer
5161,3230,Witch doctor
5162,5152,Butler
5162,5169,Dancing partner
5162,5169,Social escort
5211,5246,Food service counter attendant
5211,5223,Shop sales assistant
5211,5221,Shopkeeper
5211,5212,Street food vendor
5211,9520,Street vendor (excluding food)
5212,5120,Cook
5212,9411,Fast food preparer
5212,5246,Food service counter attendant
5212,9520,Street vendor (excluding food)
5221,5211,Market stall holder
5221,1420,Shop manager
5222,1420,Shop managers
5222,5221,Shopkeepers
5222,5211,Street stall salesperson
5223,5230,Checkout operator
5223,5246,Food service counter attendant
5223,5211,Kiosk salesperson
5223,5211,Market salesperson
5223,1420,Shop manager
5223,5221,Shopkeeper
5223,5212,Street food vendor
5223,5211,Street stall salesperson
5230,5222,Checkout supervisor
5230,5245,Service station attendant
5230,5223,Shop sales assistant
5230,4221,Travel ticket issuing clerk
5242,5243,Door-to-door salesperson
5242,5211,Market salesperson
5242,5211,Street stall salesperson
5243,3322,Commercial sales representative
5243,9520,Street vendor
5244,4222,Contact center information clerk
5244,4222,Customer service representative
5245,5246,Food service counter assistant
5245,5230,Service station cashier
5245,5223,Shop sales assistant
5246,5132,Bartender
5246,5120,Cook
5246,9411,Fast food preparer
5246,5211,Kiosk salesperson
5246,5211,Market salesperson
5246,5211,Street stall salesperson
5246,5131,Waiter
5247,5223,Shop sales assistant
5247,5222,Shop supervisor
5247,5221,Shopkeepers
5321,3258,Ambulance worker
5321,3221,Associate professional nurse
5321,5322,Home nursing aide
5321,2221,Professional nurse
5322,3221,Associate professional nurse
5322,3412,Associate professional social worker
5322,5321,Clinic or hospital nursing aide
5322,2221,Professional nurse
5322,2635,Professional social worker
5329,3251,Dental assistant
5329,3214,Dental technician
5329,3213,Pharmaceutical assistant
5411,3112,Fire inspector
5411,3119,Fire investigator
5411,3112,Fire prevention specialist
5412,1112,Police chief constable
5412,1112,Police commissioner
5412,3355,Police detective
5412,3355,Police inspector
5412,1112,Police inspector-general
5414,5419,Beach patrolman/patrolwoman
5414,5419,Lifeguard
5414,3411,Private detective
5414,3411,Private inquiry agent
5414,3411,Private investigator
5419,5414,Doorkeeper
5419,5414,Museum guard
5419,5414,Watchman/Watchwoman
6111,1311,Agricultural production manager
6111,9211,Crop farm laborer
6112,1311,Agricultural production manager
6112,9211,Crop farm laborer
6113,1311,Agricultural production manager
6113,9211,Crop farm laborer
6114,1311,Agricultural production manager
6114,9211,Crop farm laborer
6115,1311,Agricultural production manager
6115,9211,Crop farm laborer
6116,1311,Agricultural production manager
6116,9211,Crop farm laborer
6117,9211,Fruit picker
6117,1311,Plantation manager
6118,9214,Garden laborer
6118,9214,Horticultural laborer
6118,2132,Horticultural scientist
6121,1311,Agricultural production manager
6121,1311,Ranch manager
6129,5419,Game warden
6129,5164,Pet groomer
6129,6122,Poultry breeder
6129,5164,Zoo keeper
6130,1311,Agricultural production manager –
6130,9213,Mixed farming laborer
6130,1311,Plantation manager
6211,5419,Forest protection officer
6211,9215,Forestry laborer
6211,3143,Forestry technician
6211,2132,Silviculturist
6214,6128,Beekeeper
6214,6128,Beekeeping farmer
6214,6118,Mushroom cultivator
6221,9216,Aquaculture laborer
6221,1312,Aquaculture production manager
6222,9216,Aquaculture laborer
6222,1312,Aquaculture production manager
6223,9216,Aquaculture laborer
6223,1312,Aquaculture production manager
6226,6221,Bangus/tilapia farmers
6226,6227,Deep-sea fisher
6226,9216,Fishing laborer
