code,name,province_code,type,is_independent
031424,Doña Remedios Trinidad,0314,municipality,False
034901,Aliaga,0349,municipality,False
034902,Bongabon,0349,municipality,False
034903,City of Cabanatuan,0349,component city,False
034904,Cabiao,0349,municipality,False
034905,Carranglan,0349,municipality,False
034906,Cuyapo,0349,municipality,False
034907,Gabaldon,0349,municipality,False
034908,City of Gapan,0349,component city,False
034909,General Mamerto Natividad,0349,municipality,False
034910,General Tinio,0349,municipality,False
034911,Guimba,0349,municipality,False
034912,Jaen,0349,municipality,False
034913,Laur,0349,municipality,False
034914,Licab,0349,municipality,False
034915,Llanera,0349,municipality,False
