code,name,province_code,type,is_independent
140115,Malibcong,1401,municipality,False
140116,Manabo,1401,municipality,False
140117,Peñarrubia,1401,municipality,False
140118,Pidigan,1401,municipality,False
140119,Pilar,1401,municipality,False
140120,Sallapadan,1401,municipality,False
140121,San Isidro,1401,municipality,False
140122,San Juan,1401,municipality,False
140123,San Quintin,1401,municipality,False
140124,Tayum,1401,municipality,False
140125,Tineg,1401,municipality,False
140126,Tubo,1401,municipality,False
140127,Villaviciosa,1401,municipality,False
141101,Atok,1411,municipality,False
141102,City of Baguio,1411,highly urbanized city,True
141103,Bakun,1411,municipality,False
141104,Bokod,1411,municipality,False
141105,Buguias,1411,municipality,False
141106,Itogon,1411,municipality,False
141107,Kabayan,1411,municipality,False
141108,Kapangan,1411,municipality,False
141109,Kibungan,1411,municipality,False
141110,La Trinidad,1411,municipality,False
141111,Mankayan,1411,municipality,False
141112,Sablan,1411,municipality,False
141113,Tuba,1411,municipality,False
141114,Tublay,1411,municipality,False
142701,Banaue,1427,municipality,False
142702,Hungduan,1427,municipality,False
142703,Kiangan,1427,municipality,False
142704,Lagawe,1427,municipality,False
142705,Lamut,1427,municipality,False
142706,Mayoyao,1427,municipality,False
142707,Alfonso Lista,1427,municipality,False
142708,Aguinaldo,1427,municipality,False
142709,Hingyon,1427,municipality,False
142710,Tinoc,1427,municipality,False
142711,Asipulo,1427,municipality,False
143201,Balbalan,1432,municipality,False
143206,Lubuagan,1432,municipality,False
143208,Pasil,1432,municipality,False
143209,Pinukpuk,1432,municipality,False
143211,Rizal,1432,municipality,False
143213,City of Tabuk,1432,component city,False
143214,Tanudan,1432,municipality,False
143215,Tinglayan,1432,municipality,False
144401,Barlig,1444,municipality,False
144402,Bauko,1444,municipality,False
144403,Besao,1444,municipality,False
144404,Bontoc,1444,municipality,False
144405,Natonin,1444,municipality,False
144406,Paracelis,1444,municipality,False
144407,Sabangan,1444,municipality,False
144408,Sadanga,1444,municipality,False
144409,Sagada,1444,municipality,False
144410,Tadian,1444,municipality,False
148101,Calanasan,1481,municipality,False
148102,Conner,1481,municipality,False
